isbn,library_url,url_yn
0140189300,https://openlibrary.org/books/OL576800M/Been_down_so_long_it_looks_like_up_to_me,1
140004314X,https://openlibrary.org/books/OL3423180M/The_Year_of_Magical_Thinking,1
0374522219,https://openlibrary.org/books/OL7424256M/The_White_Album,1
0679754865,https://openlibrary.org/books/OL1114766M/A_book_of_common_prayer,1
0679752862,no response found,0
0679754857,https://openlibrary.org/books/OL1114767M/Democracy,1
0307264874,https://openlibrary.org/books/OL15626938M/We_Tell_Ourselves_Stories_in_Order_to_Live,1
0374529949,https://openlibrary.org/books/OL7424625M/Play_It_As_It_Lays,1
0143039830,https://openlibrary.org/books/OL17923895M/The_New_York_trilogy,1
0140097317,https://openlibrary.org/books/OL21142705M/City_of_Glass,1
014009735X,https://openlibrary.org/books/OL2728700M/Ghosts,1
0940650762,https://openlibrary.org/books/OL2436804M/The_locked_room,1
0963188925,https://openlibrary.org/books/OL1126881M/Pyramids_of_Montauk,1
0312426232,https://openlibrary.org/books/OL9323564M/The_Brooklyn_Follies,1
0140115854,https://openlibrary.org/books/OL2201540M/Moon_palace,1
0312263996,https://openlibrary.org/books/OL6779961M/Timbuktu,1
038077108X,https://openlibrary.org/books/OL1448255M/Paul_Auster's_City_of_glass,1
0140154078,https://openlibrary.org/books/OL22478305M/The_music_of_chance,1
0805081453,https://openlibrary.org/books/OL24766080M/Travels_in_the_scriptorium,1
0140178139,https://openlibrary.org/books/OL7349460M/Leviathan_(Contemporary_American_Fiction),1
0811214982,https://openlibrary.org/books/OL3552092M/The_red_notebook,1
2742741461,https://openlibrary.org/books/OL12600413M/Paul_Auster,1
1886224145,https://openlibrary.org/books/OL968821M/Why_write,1
0143036556,https://openlibrary.org/books/OL7361580M/Collapse,1
0446579785,https://openlibrary.org/books/OL3417004M/The_coming_economic_collapse,1
052138673X,https://openlibrary.org/books/OL21234427M/The_collapse_of_complex_societies.,1
0743203046,https://openlibrary.org/books/OL7926623M/Bowling_Alone,1
034543871X,https://openlibrary.org/books/OL9752934M/The_Collapse_of_the_Common_Good,1
0393318281,https://openlibrary.org/books/OL7453542M/Reinventing_the_Enemy's_Language,1
1599869942,https://openlibrary.org/books/OL8902455M/My_Inventions,1
0806519606,https://openlibrary.org/books/OL18200612M/Wizard,1
0822549204,https://openlibrary.org/books/OL1431643M/Nikola_Tesla,1
0932813860,https://openlibrary.org/books/OL8387026M/The_Tesla_Papers,1
0521437733,https://openlibrary.org/books/OL7740777M/The_Invention_of_Tradition_(Canto),1
0373792689,https://openlibrary.org/books/OL18724212M/Boys_of_summer,1
0974514055,https://openlibrary.org/books/OL3439591M/Programming_Ruby,1
0764585975,https://openlibrary.org/books/OL22017574M/CliffsNotes_Golding's_Lord_of_the_flies,1
0307281701,no response found,0
0399529209,https://openlibrary.org/books/OL3688432M/Lord_of_the_Flies,1
0812969707,https://openlibrary.org/books/OL8020904M/A_War_Like_No_Other,1
0060255080,https://openlibrary.org/books/OL2192229M/We_were_not_like_other_people,1
0330485385,https://openlibrary.org/books/OL16202159M/The_lovely_bones,1
159413023X,https://openlibrary.org/books/OL3692803M/The_lovely_bones,1
0345360354,https://openlibrary.org/books/OL9445706M/Lovely_in_Her_Bones,1
0321303474,https://openlibrary.org/books/OL3439386M/The_zen_of_CSS_design,1
0321430840,https://openlibrary.org/books/OL9536025M/HTML_XHTML_and_CSS,1
3822840858,https://openlibrary.org/books/OL8945882M/1000_Record_Covers,1
0743264460,https://openlibrary.org/books/OL7948065M/Killing_Yourself_to_Live,1
0743236017,https://openlibrary.org/books/OL7927834M/Sex_Drugs_and_Cocoa_Puffs,1
0965762645,https://openlibrary.org/books/OL8531023M/Reefer_Madness,1
0553572490,https://openlibrary.org/books/OL24877119M/Vice,1
0060589469,https://openlibrary.org/books/OL7279374M/Zen_and_the_Art_of_Motorcycle_Maintenance,1
0802789471,https://openlibrary.org/books/OL3307660M/Once_upon_a_cool_motorcycle_dude,1
0688060692,https://openlibrary.org/books/OL1877161M/Guidebook_to_Zen_and_the_art_of_motorcycle_maintenance,1
185960515X,https://openlibrary.org/books/OL3960939M/Motorcycle_basics_techbook,1
1592530877,https://openlibrary.org/books/OL8867387M/Logo_Lounge,1
0451528808,https://openlibrary.org/books/OL7577331M/The_Death_of_Ivan_Ilych_And_Other_Stories,1
0192833987,https://openlibrary.org/books/OL7384027M/War_and_Peace_(Oxford_World's_Classics),1
0486451380,https://openlibrary.org/books/OL7640143M/The_Kingdom_of_God_Is_Within_You,1
0340837489,no response found,0
0452011876,https://openlibrary.org/books/OL7589983M/Atlas_Shrugged,1
0451163087,https://openlibrary.org/books/OL741463M/For_the_new_intellectual,1
0452286751,https://openlibrary.org/books/OL7591134M/The_Fountainhead,1
0451163931,https://openlibrary.org/books/OL16181071M/Virtue_of_selfishness,1
0452281253,https://openlibrary.org/books/OL7590863M/Anthem,1
0451187849,https://openlibrary.org/books/OL17580761M/We_the_living,1
0451147952,https://openlibrary.org/books/OL16925465M/Capitalism,1
0452274044,https://openlibrary.org/books/OL25434590M/Letters_of_Ayn_Rand,1
0471791431,https://openlibrary.org/books/OL17882784M/Sailing_for_dummies,1
0553803816,https://openlibrary.org/books/OL7850548M/Sailing_from_Byzantium,1
0375755195,https://openlibrary.org/books/OL22819527M/Sailing_alone_around_the_room,1
1592283195,https://openlibrary.org/books/OL3301721M/The_greatest_sailing_stories_ever_told,1
0975599518,https://openlibrary.org/books/OL23273949M/Natural_cures_they_don't_want_you_to_know_about,1
0374502005,https://openlibrary.org/books/OL1042607M/The_natural,1
0307263940,https://openlibrary.org/books/OL3428488M/Digging_to_America,1
0312405545,https://openlibrary.org/books/OL3698998M/Rereading_America,1
019517013X,https://openlibrary.org/books/OL3302922M/Modern_Latin_America,1
1400079497,https://openlibrary.org/books/OL26614616M/The_Plot_Against_America,1
0713998946,https://openlibrary.org/books/OL7798471M/The_Daily_Show_with_Jon_Stewart_Presents_America_(The_Book),1
0688171621,https://openlibrary.org/books/OL18485393M/Naked_pictures_of_famous_people,1
0060932686,https://openlibrary.org/books/OL42183M/Collected_stories,1
1400034957,https://openlibrary.org/books/OL8362813M/Cronica_de_una_muerte_anunciada,1
0307350428,https://openlibrary.org/books/OL9626782M/Cien_años_de_soledad,1
0307350444,https://openlibrary.org/books/OL21632044M/Del_amor_y_otros_demonios,1
140003454X,https://openlibrary.org/books/OL22630535M/Living_to_tell_the_tale,1
1400095808,https://openlibrary.org/books/OL13571225M/Memoria_de_mis_putas_tristes,1
0375708111,https://openlibrary.org/books/OL24416865M/The_elegant_universe,1
086171492X,https://openlibrary.org/books/OL3300400M/Pure_and_simple,1
184353584X,https://openlibrary.org/books/OL8931811M/The_Rough_Guide_London_Mini_Guide_Edition_4,1
1740598318,https://openlibrary.org/books/OL8906783M/Lonely_Planet_London,1
1740594770,https://openlibrary.org/books/OL8906625M/Lonely_Planet_Best_Of_London_(Lonely_Planet_Encounter_London),1
186450353X,https://openlibrary.org/books/OL8647789M/Lonely_Planet_London,1
8408064762,https://openlibrary.org/books/OL9116395M/Lonely_Planet_Londres_(Lonely_Planet_London),1
1740592050,https://openlibrary.org/books/OL12559343M/Lonely_Planet_2002_Out_to_Eat_London_(Out_to_Eat),1
0618710531,https://openlibrary.org/books/OL7606264M/Three_Nights_in_August,1
0060512806,https://openlibrary.org/books/OL7277480M/Cryptonomicon,1
2228894699,https://openlibrary.org/books/OL8886235M/Cryptonomicon_tome_3,1
2228894168,https://openlibrary.org/books/OL8886223M/Cryptonomicon_tome_2,1
0060733357,https://openlibrary.org/books/OL7280564M/The_Confusion_(The_Baroque_Cycle_Vol._2),1
0060593083,https://openlibrary.org/books/OL24952872M/Quicksilver,1
0553383442,https://openlibrary.org/books/OL7826608M/The_Cobweb,1
0553573861,https://openlibrary.org/books/OL16905176M/Zodiac,1
0380816032,https://openlibrary.org/books/OL6789699M/The_big_U,1
0553380966,https://openlibrary.org/books/OL21661435M/The_diamond_age,1
0553383434,https://openlibrary.org/books/OL23138706M/Interface,1
0060833181,https://openlibrary.org/books/OL7282658M/Odalisque,1
0553380958,https://openlibrary.org/books/OL18141225M/Snow_crash,1
344245302X,https://openlibrary.org/books/OL9035687M/Snow_Crash.,1
1880685353,https://openlibrary.org/books/OL24801328M/Harrington_on_hold_'em,1
1880685337,https://openlibrary.org/books/OL17903862M/Harrington_on_hold_'em,1
0465067107,https://openlibrary.org/books/OL3702614M/The_design_of_everyday_things,1
0465051367,https://openlibrary.org/books/OL7593784M/Emotional_Design,1
0465067093,https://openlibrary.org/books/OL18344056M/The_psychology_of_everyday_things,1
0898709199,https://openlibrary.org/books/OL8271625M/No_Price_too_High,1
0060887966,https://openlibrary.org/books/OL7283591M/The_Alchemist_-_Gift_Edition,1
0061122416,https://openlibrary.org/books/OL7288233M/The_Alchemist,1
142150460X,https://openlibrary.org/books/OL22740783M/Fullmetal_Alchemist.,1
1591169259,https://openlibrary.org/books/OL18587193M/Fullmetal_Alchemist_Volume_1,1
1421504596,https://openlibrary.org/books/OL22740778M/Fullmetal_Alchemist.,1
1591169208,https://openlibrary.org/books/OL18587193M/Fullmetal_Alchemist_Volume_1,1
1591169291,https://openlibrary.org/books/OL8853145M/Fullmetal_Alchemist_Volume_4,1
006019250X,https://openlibrary.org/books/OL347814M/The_illustrated_Alchemist,1
1591169232,https://openlibrary.org/books/OL23040874M/Fullmetal_Alchemist_Volume_2,1
0747588945,no response found,0
0812974611,https://openlibrary.org/books/OL22860209M/Pompeii,1
158715739X,https://openlibrary.org/books/OL8822895M/The_Last_Days_of_Pompeii,1
0142000671,https://openlibrary.org/books/OL3955379M/Of_Mice_and_Men,1
0582461464,https://openlibrary.org/books/OL7881434M/Of_Mice_and_Men,1
0060554738,https://openlibrary.org/books/OL7278518M/The_Game,1
014240120X,https://openlibrary.org/books/OL7360590M/The_Westing_Game_(Puffin_Modern_Classics),1
0808553038,https://openlibrary.org/books/OL7973769M/The_Egypt_Game,1
1400096898,https://openlibrary.org/books/OL8364566M/Memoirs_of_a_Geisha,1
0739326228,https://openlibrary.org/books/OL3416768M/Memoirs_of_a_geisha,1
0099498189,https://openlibrary.org/books/OL7319180M/MEMOIRS_OF_A_GEISHA,1
1557046832,https://openlibrary.org/books/OL3428723M/Memoirs_of_a_geisha,1
0099771519,https://openlibrary.org/books/OL7319961M/Memoirs_of_a_Geisha_Uk,1
