title,authors,average_rating,isbn,# num_pages
Limitations (Kindle County Legal Thriller  #7),Scott Turow,3.33,0312426453,208
Reversible Errors (Kindle County  #6),Scott Turow,3.84,0446612626,553
The Laws Of Our Fathers (Kindle County  #4),Scott Turow,3.75,0446604402,817
Personal Injuries (Kindle County  #5),Scott Turow,3.85,0446608602,528
One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,3.66,0446673781,288
Ultimate Punishment,Scott Turow,3.82,031242373X,176
The Cider House Rules,John Irving-Grover Gardner,4.12,073660989X,26
The Physician (Cole Family Trilogy  #1),Noah Gordon,4.37,0751503894,720
Matters of Choice (Cole Family Trilogy  #3),Noah Gordon-Mirjana Cvekić-Ljiljana Cvekić,3.37,0451187261,448
The Rabbi,Noah Gordon,3.67,0449214540,448
The Last Jew,Noah Gordon-Mirjana Cvekić-Ljiljana Cvekić,4.08,0312300530,352
The Frequencies,Noah Eli Gordon,4.32,0974016713,81
Chamán (Familia Cole  #2),Noah Gordon-Elsa Mateo,4.11,849654642X,768
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,Mark Haddon,3.3,0307275698,60
Ocean Star Express,Mark Haddon-Peter   Sutton,3.5,000664600X,32
El curioso incidente del perro a medianoche,Mark Haddon-Patricia Antón de Vez,3.87,8478889108,268
The Beautiful and Damned,F. Scott Fitzgerald,3.75,0140180575,368
The Damned and the Beautiful: American Youth in the 1920's,Paula S. Fass,3.76,0195024923,520
This Side of Paradise (Paradise  #1),Steven L. Layne,3.74,1589802543,224
Trimalchio,F. Scott Fitzgerald-James L.W. West III,4.42,0521890470,214
Milarepa,Éric-Emmanuel Schmitt,3.19,2226093524,64
The Bookshop,Penelope Fitzgerald,3.32,0006543545,156
Souvenir of Canada 2,Douglas Coupland,3.83,1553650433,144
Souvenir of Canada,Douglas Coupland,3.85,1550549170,144
The Illustrated Art of War,Sun Tzu-Samuel B. Griffith,3.97,019518999X,272
World War 3 Illustrated: Confrontational Comics,Scott   Cunningham-Peter Kuper-Seth Tobocman-Sabrina Jones,3.85,1568580398,256
Master Index: An Illustrated Guide,Time-Life Books,3.47,0809447967,175
A New Hope: The Illustrated Screenplay (Star Wars  Episode IV),George Lucas,4.19,0345420691,166
Soul of the Sword: An Illustrated History of Weaponry and Warfare from Prehistory to the Present,Robert L. O'Connell-John    Batchelor,4.08,0684844079,400
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,George Lucas,3.92,0345431103,150
Warfare in the Classical World: An Illustrated Encyclopedia of Weapons  Warriors  and Warfare in the Ancient Civilizations of Greece and Rome,John Warry-Phillip de ste. Croix,4.13,0806127945,224
The Winter of Our Discontent,John Steinbeck-Susan Shillinglaw,3.99,0143039482,336
Cannery Row,John Steinbeck,4.03,014200068X,181
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,John Steinbeck-Elaine Steinbeck-Robert DeMott,4.41,1883011159,1088
Tortilla Flat,John Steinbeck,3.83,0141185112,154
The Log from the Sea of Cortez,John Steinbeck-Richard Astro,3.84,0141186070,288
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel-William J.H. Andrewes-William J. H. Andrewes,4.09,0802775934,224
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel-Neil Armstrong,3.96,0802714625,192
Latitude and Longitude (Rookie Read-About Geography),Rebecca Aberg-Jeanne Clidas,3.58,0516277650,32
The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,William Andrewes,4.67,0964432900,437
1421: The Year China Discovered America,Gavin Menzies,3.59,006054094X,650
Dr. Desirable,Kristi Gold,3.24,0373764219,192
Mayflower: A Story of Courage  Community  and War,Nathaniel Philbrick,3.87,0670037605,461
Before the Mayflower: A History of Black America,Lerone Bennett Jr.,4.43,0874850916,796
Before The Mayflower A History of Black America,Lerone Bennett Jr.,4.43,0140072144,70
Shalimar the Clown,Salman Rushdie,3.87,0679783482,398
Midnight's Children,Salman Rushdie,3.99,0330267140,463
The Satanic Verses,Salman Rushdie,3.71,0670825379,549
Haroun and the Sea of Stories (Khalifa Brothers  #1),Salman Rushdie-Paul Birkbeck,4.01,0670886580,224
Fury,Salman Rushdie,3.29,0099421860,272
Code Complete,Steve McConnell,4.29,0735619670,914
How to Live on 24 Hours a Day,Arnold Bennett,3.66,1406922900,92
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,Dale Carnegie,4.16,1578660394,538
How to Stop Worrying and Start Living,Dale Carnegie,4.11,0671035975,358
How To Enjoy Your Life And Your Job,Dale Carnegie-Dorothy Carnegie,3.95,0671708260,224
The Leader In You: How to Win Friends  Influence People and Succeed in a Changing World,Dale Carnegie-Stuart R. Levine-Michael A. Crom,4.09,0671519980,256
The Decoration of the Torre de la Parada (Corpus Rubenianum Ludwig Burchard  Part IX) (Corpus Rubenianum Ludwig Burchard),Svetlana Alpers,5.0,0199210152,532
The Drama of the Gifted Child: The Search for the True Self,Alice  Miller-Ruth Ward,4.09,0465016901,144
The Drama of the Gifted Child: The Search for the True Self,Alice  Miller,4.09,046501691X,118
Who Moved My Cheese?,Spencer Johnson-Kenneth H. Blanchard,3.78,0091883768,96
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim-Renée Mauborgne,3.89,1591396190,240
Heart of Darkness,Joseph Conrad,3.42,1892295490,188
Heart of Darkness,Joseph Conrad-Paul B. Armstrong,3.42,0393926362,528
Heart of Darkness,Joseph Conrad,3.42,1580495753,76
Heart of Darkness,Joseph Conrad-A.N. Wilson,3.42,184391008X,137
Heart of Darkness,Joseph Conrad,3.42,0141182431,218
Heart of Darkness and Other Tales,Joseph Conrad-Cedric Watts,3.58,0192801724,225
Heart of Darkness,Joseph Conrad,3.42,159224646X,132
Teacher Man (Frank McCourt  #3),Frank McCourt,3.75,0743243781,272
'Tis A Memoir (Frank McCourt  #2),Frank McCourt,3.68,0006551815,495
Angela's Ashes,Frank McCourt,4.1,0007718721,224
Three Men in a Boat (Three Men  #1),Jerome K. Jerome,3.89,0140621334,185
Three Men in a Boat: To Say Nothing of the Dog,Jerome K. Jerome,3.89,0486451100,144
Three Men in a Boat: To Say Nothing of the Dog,Jerome K. Jerome,3.89,1904919529,272
Three Men in a Boat,Jerome K. Jerome,3.89,0141441216,178
Three Men in a Boat and Three Men on the Bummel,Jerome K. Jerome-Jeremy Lewis,4.09,0140437509,400
Kafka on the Shore,Haruki Murakami-Philip Gabriel,4.13,1400079276,467
海邊的卡夫卡 上,Haruki Murakami-村上春樹-賴明珠,4.07,9571338400,328
The Brothers Karamazov,Fyodor Dostoyevsky-Constance Garnett-Manuel Komroff-John Bayley,4.32,0451527348,736
The Brothers Karamazov,Fyodor Dostoyevsky-Richard Pevear-Larissa Volokhonsky,4.32,0374528373,796
The Brothers Karamazov,Fyodor Dostoyevsky-David McDuff,4.32,0140449248,1013
The Brothers Karamazov,Fyodor Dostoyevsky-Richard Pevear-Larissa Volokhonsky,4.32,0679729259,796
The Brothers Karamazov,Fyodor Dostoyevsky-Constance Garnett,4.32,0486437914,736
The Brothers Karamazov,Fyodor Dostoyevsky-Simon Vance-Thomas R. Beyer Jr.,4.32,1596440791,16
The Brothers Karamazov,Fyodor Dostoyevsky-Constance Garnett-Maire Jaanus,4.32,159308045X,720
CliffsNotes on Dostoevsky's The Brothers Karamazov,James Lamar Roberts-Gary Carey,3.5,0764538136,96
Hungry Planet,Peter Menzel-Faith D'Aluisio,4.44,1580086810,288
The Very Hungry Caterpillar,Eric Carle,4.29,0399226907,13
The Little Mouse  the Red Ripe Strawberry and the Big Hungry Bear (Child's Play Library),Don    Wood,4.31,0859533301,32
One Hundred Hungry Ants,Elinor J. Pinczes-Bonnie Mackain,4.05,0395971233,32
The Very Hungry Caterpillar,Eric Carle,4.29,0241003008,26
The Hungry Tide,Amitav Ghosh,3.94,061871166X,333
Feeding the Hungry Heart: The Experience of Compulsive Eating,Geneen Roth,3.97,0452270839,224
What Is the What,Dave Eggers,4.16,1932416641,475
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.68,0375725784,485
You Shall Know Our Velocity!,Dave Eggers,3.63,1400033543,401
How We Are Hungry,Dave Eggers,3.75,1400095565,224
How We Are Hungry: Stories,Dave Eggers,3.75,1932416137,218
Merry Christmas  Stinky Face,Lisa McCourt-Cyd Moore,3.99,0439635772,32
Love You Until--,Lisa McCourt-Cyd Moore,4.67,0809166585,32
Year of Wonders,Geraldine Brooks,4.01,0142001430,358
The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate the Major Developmental Milestones,Tanya Remer Altmann-American Academy of Pediatrics,3.49,0553804766,224
The Seven-Year-Old Wonder Book,Isabel Wyatt-Alyson MacNeill,4.21,0863155278,157
Wolves of the Calla (The Dark Tower  #5),Stephen King-Bernie Wrightson,4.19,141651693X,931
A Man Without a Country,Kurt Vonnegut-Daniel Simon,4.08,081297736X,160
Breakfast of Champions,Kurt Vonnegut,4.08,0385334206,303
Slaughterhouse-Five,Kurt Vonnegut,4.07,0385333846,275
The Sirens of Titan,Kurt Vonnegut,4.16,1857988841,224
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),Harold Bloom-Terry Southern-David H. Goldsmith-James Lundquist-Lawrence R. Broer-Peter J. Reed-Loree Rackstraw-William S. Doxey-Jerome Klinkowitz-Richard Giannone-John L. Simons-Leonard Mustazza-Zoltan Ab di-Nagy-Peter Freese-Wendy B. Faris,4.35,0791071685,258
Bagombo Snuff Box,Kurt Vonnegut,3.72,0099282968,295
Welcome to the Monkey House,Kurt Vonnegut,4.14,0385333501,331
God Bless You  Dr. Kevorkian,Kurt Vonnegut,3.84,0743422007,80
Jailbird,Kurt Vonnegut,3.81,0385333900,310
Fates Worse Than Death,Kurt Vonnegut,3.86,0425134067,240
The Red Tent,Anita Diamant,4.17,0312353766,336
Inside the Red Tent,Sandra Hack Polaski,3.94,0827230281,100
Anita Diamant's The Red Tent: A Reader's Guide,Ann Finding,4.13,0826415741,88
La tienda roja,Anita Diamant,4.17,8478883975,384
La Jeune fille à la perle,Tracy Chevalier-Marie-Odile Fortier-Masek,3.87,2070417948,313
Iron Kingdom: The Rise and Downfall of Prussia  1600–1947,Christopher   Clark,4.14,0674023854,776
Downfall (Dragonlance: Dhamon Saga  #1),Jean Rabe,3.68,0786918144,397
Berlin: The Downfall  1945,Antony Beevor,4.28,0670886955,489
El azul de la virgen,Tracy Chevalier,3.66,8466313591,411
Saturday,Ian McEwan,3.63,1400076196,289
I Love Saturdays y domingos,Alma Flor Ada-Elivia Savadier,4.03,068987409X,32
The Pillars of Creation (Sword of Truth  #7),Terry Goodkind,3.68,0765340747,725
The Pillars of the Earth (Kingsbridge  #1),Ken Follett,4.31,0451207149,973
A Dangerous Fortune,Ken Follett,4.03,0330332651,596
The Man From St. Petersburg,Ken Follett,3.87,0451208706,320
Night Over Water,Ken Follett,3.81,0451211472,448
The Truth about the Drug Companies: How They Deceive Us and What to Do about It,Marcia Angell,3.94,0375760946,319
On Wings of Eagles,Ken Follett,3.93,0451213092,416
La verdad acerca de las Industrias Farmacéuticas: cómo nos engaña y qué hacer al respecto,Marcia Angell,3.94,9580493510,324
Jackdaws,Ken Follett,3.95,0451219597,416
Whiteout,Ken Follett-David Tennant,3.56,1405052716,4
Jackdaws,Ken Follett,3.95,0451207521,496
Battle Angel Alita - Last Order : Angel's Vision  Vol. 08,Yukito Kishiro,4.1,1421508656,208
Battle Angel Alita - Last Order : Guilty Angel  Vol. 07,Yukito Kishiro,4.12,1421504332,208
Gunnm Last Order  Tome 01,Yukito Kishiro,4.06,2723439801,200
Your Inner Physician and You: CranioSacral Therapy and SomatoEmotional Release,John E. Upledger,4.09,1556432461,240
My Life in France,Julia Child-Alex Prud'Homme,4.17,1400043468,302
A Short History Of Nearly Everything,Bill Bryson,4.2,096573840X,545
A Short History of Nearly Everything (Illustrated Edition),Bill Bryson,4.2,0385663552,624
The Drawing of the Three (The Dark Tower  #2),Stephen King,4.23,0451210859,463
The Waste Lands (The Dark Tower  #3),Stephen King,4.24,034082977X,584
Wizard and Glass (The Dark Tower  #4),Stephen King-Dave McKean,4.25,0340829788,845
The Gunslinger (The Dark Tower  #1),Stephen King,3.96,0340829753,238
The Handmaid's Tale,Margaret Atwood-Valerie Martin,4.09,0307264602,350
The Handmaid's Tale,Margaret Atwood,4.09,0435124099,308
The Catcher in the Rye,J.D. Salinger,3.8,0316769177,277
The Catcher In The Rye,J.D. Salinger,3.8,0553134329,214
The Catcher in the Rye - Barron's Book Notes,Barron's,3.72,0812034074,120
Franny and Zooey,J.D. Salinger,3.98,0316769029,201
Raise High the Roof Beam  Carpenters & Seymour: An Introduction,J.D. Salinger,4.12,0316766941,256
For Esme—With Love and Squalor  and Other Stories,J.D. Salinger,4.19,0140237534,149
The Doors of Perception & Heaven and Hell,Aldous Huxley,3.94,0060595183,187
Brave New World,Aldous Huxley-Felisberto Albuquerque,3.98,0060929871,288
Island,Aldous Huxley,3.85,0060085495,354
The Perennial Philosophy,Aldous Huxley,4.23,006057058X,336
Huxley and God: Essays on Religious Experience,Aldous Huxley-Huston Smith-Jacqueline Hazard Bridgeman,4.31,0824522524,320
Moksha: Writings on Psychedelics & the Visionary Experience,Aldous Huxley-Michael Horowitz-Cynthia Palmer,4.17,0892817585,304
Point Counter Point,Aldous Huxley,3.85,1564781313,432
After Many a Summer Dies the Swan,Aldous Huxley,3.75,1566630185,368
The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,4.12,0141183780,281
The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.73,0307275558,432
Arundhati Roy's The God of Small Things: A Reader's Guide,Julie Mullaney,4.0,0826453279,96
A Separate Peace,John Knowles,3.57,0743253973,208
The Corrections,Jonathan Franzen,3.79,0374701849,662
Black and Blue,Anna Quindlen,3.88,0385333137,288
A Virtuous Woman,Kaye Gibbons,3.68,0375703063,165
Here on Earth,Alice Hoffman,3.69,0425169693,336
The Heart of a Woman,Maya Angelou,4.2,0375500723,288
The Deep End of the Ocean (Cappadora Family  #1),Jacquelyn Mitchard,3.86,0140286276,464
The Heart Is a Lonely Hunter,Carson McCullers,3.97,0618526412,359
Cane River,Lalita Tademy,4.05,0446678457,522
Where the Heart Is,Billie Letts,4.01,0446672211,376
Oprah Winfrey,Katherine E. Krohn,3.82,0822550008,128
Drowning Ruth,Christina Schwarz,3.74,0345439104,368
Fall on Your Knees,Ann-Marie MacDonald,3.96,0743466527,672
What Looks Like Crazy on an Ordinary Day (Idlewild  #1),Pearl Cleage,3.72,038079487X,244
While I Was Gone,Sue Miller,3.68,0345443284,304
Mother of Pearl,Melinda Haynes,3.68,0671774670,465
The Rapture of Canaan,Sheri Reynolds,3.81,0425162443,320
Songs in Ordinary Time,Mary McGarry Morris,3.7,0140244824,740
Breath  Eyes  Memory,Edwidge Danticat,3.87,037570504X,234
The Book of Ruth,Jane Hamilton,3.84,0385265700,328
Open House,Elizabeth Berg,3.7,0345435168,272
The Pilot's Wife,Anita Shreve,3.52,0316601950,304
The Reader,Bernhard Schlink-Carol Brown Janeway,3.75,0375707972,218
Tara Road,Maeve Binchy,3.9,0440235596,648
A Lesson Before Dying,Ernest J. Gaines,3.94,0375702709,256
Paradise,Toni Morrison,3.79,0452280397,318
One Hundred Years of Solitude,Gabriel García Márquez,4.06,060630052X,458
The Treasure Hunt: A Little Bill Book,Bill Cosby-Varnette P. Honeywood,3.29,0590956183,40
She's Come Undone,Wally Lamb,3.86,0671021001,465
We Were the Mulvaneys,Joyce Carol Oates,3.72,0452282829,454
A Map of the World,Jane Hamilton-Frank  Muller-C.J. Critt,3.8,0385720106,400
Daughter of Fortune,Isabel Allende-Margaret Sayers Peden,3.9,006019491X,399
The Meanest Thing To Say,Bill Cosby-Varnette P. Honeywood-Varnette Hon Eywood,3.53,0590956167,40
The Good Earth,Pearl S. Buck,3.98,0743272935,357
A Fine Balance,Rohinton Mistry,4.36,140003065X,603
The Best Way to Play: A Little Bill Book,Bill Cosby-Varnette P. Honeywood-Varnette Honeywood,3.48,0590956175,40
White Oleander,Janet Fitch,3.95,0316284955,480
Cry  the Beloved Country,Alan Paton,3.89,0743262174,316
One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,0060740450,458
Song of Solomon,Toni Morrison,4.04,0452260116,337
One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,1417735988,417
One Hundred Years of Solitude,Gabriel García Márquez,4.06,0606349154,417
The Bluest Eye,Toni Morrison,4.0,0452282195,216
The Poisonwood Bible,Barbara Kingsolver,4.05,0060930535,546
East of Eden,John Steinbeck,4.37,1417704748,608
Vergeef me,Wally Lamb-Inge de Heer,4.18,9022530078,744
A sud delle nuvole,Wally Lamb,3.86,8878189650,520
The Crusader: Ronald Reagan and the Fall of Communism,Paul Kengor,4.2,0061136905,432
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,4.12,0684848236,304
Ethan Frome,Edith Wharton,3.38,0142437808,189
Ethan Frome and Summer,Edith Wharton-Elizabeth Strout,3.86,0375757287,274
A Son at the Front,Edith Wharton-Shari Benstock,3.5,087580568X,239
Collected Stories  1891-1910,Edith Wharton-Maureen Howard,4.3,1883011930,928
A Backward Glance,Edith Wharton-Louis Auchincloss,3.77,0684847558,385
Edith Wharton's The Age of Innocence (Bloom's Modern Critical Interpretations),Harold Bloom-Edith Wharton,3.71,0791081265,205
Complete Works of Oscar Wilde,Oscar Wilde-Merlin Holland,4.45,0007144350,1270
Oscar Wilde,Richard Ellmann,4.24,0394759842,736
An Ideal Husband,Oscar Wilde,4.04,048641423X,78
The Picture of Dorian Gray,Oscar Wilde-Jeffrey Eugenides,4.07,0375751513,367
De Profundis and Other Writings,Oscar Wilde-Hesketh Pearson,4.21,014043089X,252
Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),Ravi Zacharias,3.93,1590528603,94
Travels with Charley: In Search of America,John Steinbeck,4.08,0142000701,214
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck-Elaine Steinbeck-Robert DeMott,4.37,1883011019,909
The Pearl,John Steinbeck,3.45,0142000698,96
The Life and Times of Scrooge McDuck,Don Rosa,4.66,0911903968,266
The Life and Times of Scrooge McDuck Companion,Don Rosa,4.47,1888472405,208
The Last Christmas of Ebenezer Scrooge,Marvin Kaye,4.13,1592241336,168
Uncle Scrooge #359,Don Rosa-Carl Barks-Lars Jensen-Pat McGreal-Carol McGreal-Frank Jonker-Romano Scarpa-Mau Heymans-José Massaroli,4.0,1888472421,64
A Christmas Story,Jean Shepherd,4.09,0767916220,131
The Christmas Story,Jane Werner Watson-Eloise Wilkin,4.42,0307989135,24
A Christmas Carol,Charles Dickens-P.J. Lynch,4.04,0763631205,160
A Christmas Carol,Charles Dickens,4.04,1580495796,112
The Annotated Christmas Carol,Charles Dickens-Michael Patrick Hearn-John Leech,4.04,0393051587,266
Charles Dickens' A Christmas Carol,Jane Parker Resnick-Christian Birmingham,4.13,0762408480,56
Little Dorrit,Charles Dickens-Hablot Knight Browne-David Gates,3.98,037575914X,1347
A Christmas Carol and Other Christmas Writings,Charles Dickens-Michael Slater,4.13,0140439056,288
The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,4.0,0684865378,128
Hard Times,Charles Dickens,3.52,0321107217,353
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.81,0385517238,360
The Last Juror,John Grisham,3.86,0385339682,278
Bleachers,John Grisham,3.47,0099468190,229
The Testament,John Grisham-Jorma-Veikko Sappinen,3.85,0440234743,535
The Rainmaker,John Grisham,3.93,0385339607,419
The Partner,John Grisham,3.91,0385339100,416
The Street Lawyer,John Grisham,3.83,0385339097,384
The Summons,John Grisham,3.69,0385339593,384
The Brethren,John Grisham,3.73,0385339674,384
The Chamber,John Grisham,3.78,0385339666,632
The King of Torts,John Grisham,3.67,0385339658,276
Skipping Christmas,John Grisham,3.48,0099481685,198
The Firm,John Grisham-Robin Waterfield,4.0,0582418275,76
The Client,John Grisham,3.99,0385339089,483
A Painted House,John Grisham,3.69,0385337930,384
The Summons / The Brethren,John Grisham-Michael Beck-Frank  Muller,3.99,0739342770,0
Dragonfly in Amber (Outlander  #2),Diana Gabaldon,4.32,0385335970,743
The Great Book of Amber (The Chronicles of Amber  #1-10),Roger Zelazny,4.3,0380809060,1258
Forever Amber,Kathleen Winsor,3.99,0141009829,972
Amber Brown Is Green With Envy,Paula Danziger-Tony Ross,3.96,0439071712,160
Amber Brown Is Not a Crayon,Paula Danziger-Tony Ross,3.84,0142406198,96
Amber and Ashes (Dragonlance: The Dark Disciple  #1),Margaret Weis,3.86,0786937424,336
The Waste Lands (The Dark Tower  #3),Stephen King-Ned Dameron,4.24,0747411875,509
The Dragon's Eye (Dragonology Chronicles  #1),Dugald A. Steer-Douglas Carrel,3.82,0763628107,221
Dragon's Eye (Stonefort  #1),James A. Hetley,3.42,0441013724,368
Eye of the Dragon (Fighting Fantasy: Reissues 1  #21),Ian Livingstone,3.51,1840466421,200
An Eye For The Dragon: Southeast Asia Observed  1954-1986 (New Edition),Dennis Bloodworth,4.11,997165217X,472
Dragon's Eye,Christopher Stasheff-William R. Forstchen-Nick DiChario-S.N. Lewitt-Bill Fawcett-Mike Resnick-Mickey Zucker Reichert-S.M. Stirling-Diane Duane-Jody Lynn Nye-Roland J. Green-Teresa Patterson-Judith R. Conly,3.46,0671876090,279
The Stand,Stephen King,4.34,1568495714,1344
"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",Patricia Thomas-Wallace Tripp,4.39,0688093388,32
Here I Stand: A Life of Martin Luther,Roland H. Bainton,4.08,0452011469,336
Rebel Stand (Enemy Lines  #2) (Star Wars: The New Jedi Order  #12),Aaron Allston,3.84,0345428684,384
The Stand: Das letzte Gefecht,Stephen King-Joachim Körber,4.34,3404134117,1227
'Salem's Lot,Stephen King-Jerry N. Uelsmann,4.25,0385516487,594
'Salem's Lot,Stephen King-Ron McLarty,4.01,0743536967,17
'Salem's Lot,Stephen King,4.01,0965772411,405
The Shining / Salems Lot / Night Shift / Carrie,Stephen King,4.67,0905712609,991
Carrie / 'Salem's Lot / The Shining,Stephen King,4.53,0517219026,1096
'Salem's Lot,Stephen King,4.01,0451150651,446
'Salem's Lot,Stephen King,4.01,0451092317,427
'Salem's Lot,Stephen King,4.01,0340770538,586
El misterio de Salem's Lot,Stephen King-Marta I. Guastavino,4.01,8497931025,528
Orientalism,Edward W. Said,4.09,0141187425,396
Dangerous Knowledge: Orientalism and Its Discontents,Robert Irwin,3.7,158567835X,376
Orientalism History  Theory  and the Arts,John M. MacKenzie,2.95,0719045789,256
Defending the West: A Critique of Edward Said's Orientalism,Ibn Warraq,3.62,1591024846,556
Interpreter of Maladies,Jhumpa Lahiri,4.14,0618101365,198
The Faiths of the Founding Fathers,David L. Holmes,3.86,0195300920,225
Sisterhood of the Traveling Pants / Second Summer of the Sisterhood / Girls in Pants (Sisterhood #1-3),Ann Brashares,4.02,0385734247,1040
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3),Ann Brashares,3.82,0553375938,338
Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4),Ann Brashares,3.81,0385729367,384
The Second Summer of the Sisterhood (Sisterhood  #2),Ann Brashares,3.79,0385731051,373
Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21),Barbara Park-Denise Brunkus,4.03,0375823026,86
Nineteen Eighty-Four,George Orwell-Thomas Pynchon,4.17,0452284236,339
Animal Farm / 1984,George Orwell-Christopher Hitchens,4.28,0151010269,400
1984,George Orwell-Walter Cronkite-Erich Fromm,4.17,0451519841,268
1984,George Orwell-Erich Fromm,4.17,0451516753,268
Nineteen Eighty-Four,George Orwell,4.17,1421808323,387
Brave New World / Brave New World Revisited,Aldous Huxley-Christopher Hitchens,4.16,0060776099,340
Brave New World and Brave New World Revisited,Aldous Huxley-Christopher Hitchens,4.16,0060535261,340
Brave New World Revisited,Aldous Huxley,3.94,0060898526,123
Brave New World,Aldous Huxley,3.98,0060850523,259
Andrew Carnegie,David Nasaw,3.97,1594201048,896
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,0375413316,1313
Palace Walk,Naguib Mahfouz-William M. Hutchins-Olive E. Kenny-Naguib Mahfouz,4.15,0552995800,498
Children of the Alley,Naguib Mahfouz-Peter Theroux,4.1,0385264739,464
Sugar Street,Naguib Mahfouz-Naguib Mahfouz,4.23,0552995827,320
Palace of Desire,Naguib Mahfouz,4.21,0552995819,432
Akhenaten: Dweller in Truth,Naguib Mahfouz-Tagreid Abu-Hassabo,3.81,0385499094,168
Adrift on the Nile,Naguib Mahfouz-Frances Liardet,3.82,0385423330,167
Midaq Alley,Naguib Mahfouz-Trevor Le Gassick,3.84,0385264763,298
Arabian Nights and Days,Naguib Mahfouz-Denys Johnson-Davies,4.11,0385469012,228
The Harafish,Naguib Mahfouz-Catherine Cobham-Naguib Mahfouz,4.35,0385423357,416
The Day the Leader Was Killed,Naguib Mahfouz-Surgana-Naguib Mahfouz,3.64,0385499221,112
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies-Alison Leslie Gold,4.28,0671662341,252
The Diary of Anne Frank: The Revised Critical Edition,Anne Frank-Gerrold van der Stroom-David Barnouw-Netherlands Institute For War Documentation-Arnold J. Pomerans-B.M. Mooyart-Doubleday-Susan Massotty,4.13,0385508476,851
The Diary of Anne Frank,Frances Goodrich-Albert Hackett-Wendy Kesselman,4.04,082221718X,70
Anne Frank: Life in Hiding,Johanna Hurwitz-Vera Rosenberry,3.99,0380732548,64
Cliffs Notes on Hansberry's A Raisin in the Sun,Rosetta James,3.9,0822011085,80
Dear John,Nicholas Sparks,4.03,0446528056,276
All the King's Men,Robert Penn Warren,4.09,0156004801,439
Cliffs notes on Warren's All the King's Men,L. David Allen,3.4,0822001462,80
All the King's Men: Three Stage Versions,Robert Penn Warren-James A. Perkins-James A. Grimshaw,4.0,0820320978,264
Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,Ian King-Lou Schuler-Frederick Deluvier,3.99,1579547699,364
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard Feynman,4.28,0393316041,391
The Feynman Lectures on Physics  3 Vols,Richard Feynman-Robert B. Leighton-Matthew L. Sands,4.6,0201500647,3
The Feynman Lectures on Physics,Richard Feynman-Robert B. Leighton-Matthew L. Sands,4.6,0805390456,1552
What Do You Care What Other People Think?,Richard Feynman,4.27,0393320928,256
Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,Richard Feynman-Michelle Feynman,4.24,0738206369,512
QED: The Strange Theory of Light and Matter,Richard Feynman,4.24,0691024170,158
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,Richard Feynman,4.2,0465023924,138
Kiffe Kiffe Demain (French Edition),Faïza Guène,3.38,0785990232,182
iWoz,Steve Wozniak-Gina Smith,3.86,0393061434,313
Jack: Straight from the Gut,Jack Welch-John A. Byrne-Mike Barnicle,3.81,5559608475,496
Cradle to Cradle: Remaking the Way We Make Things,William McDonough-Michael Braungart,4.11,0865475873,193
Cradle and All,James Patterson,3.86,0446609404,384
The Creation of the American Republic  1776-1787,Gordon S. Wood,4.12,0807847232,675
